created_at,id,tweet,username,retweet_count,like_count
2025-03-24 10:44:05+00:00,1.90412e+18,French actor Depardieu expected in court for sexual assault trial #actor #depardieu #france #gerarddepardieu #metoo #sexualassault #sigmalive_english #trial https://t.co/nacf3rIPrj,Sigmalive_EN,0,0
2025-03-24 10:43:55+00:00,1.90412e+18,Why is actor Gerard Depardieu on trial – and what does it mean for #MeToo in France? https://t.co/LMIDWSyhv9,Slide36251,0,0
2025-03-24 10:40:15+00:00,1.90412e+18,Why is actor Gerard Depardieu on trial – and what does it mean for #MeToo in France?  Read more 🔗   https://t.co/dz4siA115i,SkyNews,1,6
2025-03-24 10:39:22+00:00,1.90412e+18,"Why is actor Gerard Depardieu on trial – and what does it mean for #MeToo in France? https://t.co/1p17SuTagC Lara Keya One of France's most successful actors is in court accused of sexually assaulting two women on the set of one of his films. Gerard Depardieu, 76, has starred in",MundayMuse,0,0
2025-03-24 10:36:28+00:00,1.90412e+18,Virginia lawmaker Jackie Glass reveals a troubling reality: joining the legislature means receiving a 'safety brief' on who not to drink with or be alone with. 🚫 It’s disheartening that misconduct persists despite #MeToo. We must keep advocating for a s… https://t.co/tfBs8JayT8,_DailyDoseMedia,1,1
2025-03-24 10:30:39+00:00,1.90412e+18,South Korea Vows Tougher Laws On Sexual Abuse Amid #MeToo Movement. “The #MeToo movement is an event where boiling rage has finally   #Painting #XRP https://t.co/aZLgB7Xdr6,lool238,0,0
2025-03-24 10:25:10+00:00,1.90412e+18,"BCCI Central Contract: Men vs Women Salary  Grade A: Men’s Team Players – ₹5 Cr Women’s Team Players – ₹50 Lakh  Equal efforts, but a massive pay gap! Shouldn’t we aim for better parity in Indian cricket?  #EqualPay #BCCI #Cricket #GenderEquality",Avsportslive,1,1
2025-03-24 10:10:38+00:00,1.90411e+18,"@WomenBeingAwful How about an online registry of women who have cheated on their husbands, committed paternity fraud, baby trapped a man and then lived off his slave labor as a slave owning parasite, or issued a false accusation against a man.   Let's make that #metoo for men.",boop7320316904,0,0
2025-03-24 10:08:58+00:00,1.90411e+18,"Women hold more statehouse seats than ever. After #MeToo, do they feel any safer? https://t.co/eDQvG9WO4X",BostonGlobe,0,1
2025-03-24 10:03:55+00:00,1.90411e+18,@abhorwar @MELANIATRUMP Does anyone else get a sneaky feeling that the reason the wannabe alpha males and pantomime tough guys have taken over the asylum is to erase #MeToo from the footnotes of history? @StormyDaniels @ejeancarroll @rosemcgowan,oughttobetrue,0,0
2025-03-24 09:57:04+00:00,1.90411e+18,@FBI @FBISeattle 15.26 Mar 24 Poisonous &amp; Corrosive chemical fumes &amp; nerve agents released in Rajokri premises to poison  @GE_Aerospace whistleblower Seema Sapra #FCPA #MeToo #GEAerospace @FBI @CPDelhi @DCPPCRDELHI  @DelhiPolice @dcp_southwest @CellDelhi  @SarinSatyajeet @HMOIndia @gurgaonpolice https://t.co/dvsHamzCEZ,Tigerandus,0,0
2025-03-24 09:47:43+00:00,1.90411e+18,Sky News: Why is actor Gerard Depardieu on trial – and what does it mean for #MeToo in France? https://t.co/f5bJiRzARO https://t.co/XqK2rYv6sf,species_x,1,0
2025-03-24 09:46:32+00:00,1.90411e+18,"🚨  Gérard Depardieu’s sexual assault trial marks a critical moment for France.   ➡️ The country faces a significant test in addressing sexual violence, especially when it involves famous figures.   ➡️ This trial highlights France's post-MeToo cultural shift.   #France #MeToo https://t.co/Nk5FqgE4zr",ThomaMore,0,0
2025-03-24 09:36:02+00:00,1.9041e+18,"@babybeginner @xx_xyathletics I know i'm a broken record but it bears repeating, how did we went from #MeToo to this in just a blink of an eye? And why are politcians so hell bent to die on tr*nny hill? Did they invest so much in the ""LGBTQIAETC+"" ideology, they can't back backtrack now? https://t.co/tKICB2f3ua",smek2,0,0
2025-03-24 09:33:24+00:00,1.9041e+18,@YorksRose_84 Another pathetic sentence! Where are all the #metoo brigade? They are to busy blaming Andrew Tate while these girls are being sacrificed on the alter of diversity,RayMartinqprfc,0,0
2025-03-24 09:32:23+00:00,1.9041e+18,#GerardDepardieu’s sexual assault trial marks a cultural reckoning for post-#MeToo France https://t.co/DphQBypt9s,TheHinduCinema,1,2
2025-03-24 09:25:14+00:00,1.9041e+18,Eric Schneiderman Praised Me Too Movement Days Before Abuse Allegations Emerged. WNYC has released an interview conducted last week that host Alec Baldwin says is now difficult listening. #MeToo https://t.co/YyzFqxcnDG,ladiisofresh,0,0
2025-03-24 09:24:35+00:00,1.9041e+18,🎭🇫🇷⚖️ Gerard Depardieu Stands Trial in High-Profile Sexual Assault Case Amid France’s #MeToo Reckoning  Full Story → https://t.co/FjTJPQGbeU https://t.co/gXe56fxMv4,PiQSuite,0,3
2025-03-24 09:18:35+00:00,1.9041e+18,"🚨  Gérard Depardieu's sexual assault trial is a major test for France, challenging the nation to address sexual violence in the post-#MeToo era, especially when accusations involve celebrated figures. The outcome will impact societal attitudes and cultural norms.   #France https://t.co/E9S61U3UtH",ThomaMore,0,0
2025-03-24 09:16:21+00:00,1.9041e+18,"Many #StateLegislatures responded to #MeToo by adopting or enhancing policies against #SexualMisconduct. As the number of #female #state #lawmakers reaches new heights, some say #statehouses are less of a “#BoysClub.”  https://t.co/2xwPfFLwJH",newstruthliz,0,0
2025-03-24 09:00:35+00:00,1.9041e+18,🚨 NEW EPISODE 🚨 Join us on a journey through the Victorian era with @maureenwrig as we explore the life of Elizabeth Wolstenholme Elmy. Discover the roots of women's suffrage and the fierce battles fought for equality. Listen today! #HistoryRage #WomensRights  Listen now 🎧 https://t.co/wAqkLjy7nW,HistoryRage,1,1
2025-03-24 08:55:09+00:00,1.90409e+18,@DivineChukwuedo @yabaleftonline Yeah and took advantage of her even when she was drunk and made the first move. If a man was drunk you will still say it was the man that raped. If it was the woman she was under the influence of alcohol so the man took advantage. This gender discrimination against men must stop. https://t.co/pg1eLN60dm,KhanSean35654,0,0
2025-03-24 08:50:07+00:00,1.90409e+18,How I replied to a silly attempt at sextortion. This type of harrasment of men with biological penises is enabled by the #metoo radicals. https://t.co/oscw3Au01h,excultmarxist,0,1
2025-03-24 08:43:19+00:00,1.90409e+18,"Their voices remind us: Birth matters. Respect matters. Women’s rights matter. ✨ 📍 University of Nicosia | UNESCO Amphitheater 🗓 March 27, 2025  #RespectfulMaternityCare #ObstetricViolence #ipovrespectfulcare #WomensRights #BirthMatters #MaternalHealth #Midwifery #HumanRights",ipov_rc,0,0
2025-03-24 08:41:39+00:00,1.90409e+18,@elonmusk #metoo. If I could get my tax dollars back. I'll go buy my first Tesla,LIFEtourist3,2,2
